subject,theme,level,question,choice_a,choice_b,choice_c,choice_d,correct,explanation,hint
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année Muhammad reçoit-il sa première révélation divine ?,570,610,622,632,1,Muhammad reçoit sa première révélation en 610 dans la grotte de Hira près de La Mecque.,C'est une douzaine d'années avant la hijra.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on le voyage de Muhammad de La Mecque vers Médine en 622 ?,Le hajj,La zakat,La hijra,Le djihad,2,La hijra désigne l'émigration de Muhammad vers Médine en 622 — date qui marque le début du calendrier musulman.,Ce mot signifie émigration en arabe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le livre sacré de l'islam ?,La Bible,La Torah,Les Hadiths,Le Coran,3,Le Coran est le livre sacré de l'islam considéré comme la parole d'Allah révélée à Muhammad.,Son nom vient de l'arabe et signifie la récitation.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Combien y a-t-il de piliers de l'islam ?,3,4,5,6,2,Les cinq piliers sont : la shahada (foi) la salat (prière) la zakat (aumône) le sawm (jeûne) et le hajj (pèlerinage).,Pense aux doigts d'une main.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment s'appelle le pèlerinage à La Mecque cinquième pilier de l'islam ?,La zakat,La salat,Le sawm,Le hajj,3,Le hajj est le pèlerinage à La Mecque que tout musulman capable doit accomplir au moins une fois dans sa vie.,C'est le dernier des cinq piliers et il se déroule dans la ville sainte de l'islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Dans quelle ville Muhammad est-il né ?,Médine,Jérusalem,La Mecque,Bagdad,2,Muhammad est né vers 570 à La Mecque dans la péninsule Arabique.,C'est aussi la ville qu'il devra quitter lors de la hijra.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom donné à la profession de foi islamique ?,Le hajj,La salat,La shahada,Le sawm,2,La shahada est la profession de foi : il n'y a de dieu qu'Allah et Muhammad est son prophète.,C'est le premier des cinq piliers et le plus court à énoncer.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on le chef de la communauté musulmane après la mort de Muhammad ?,Le pape,Le sultan,Le calife,L'imam,2,Le calife (khalifa en arabe) est le successeur de Muhammad à la tête de la communauté musulmane.,Ce mot signifie successeur en arabe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année Muhammad meurt-il ?,610,622,630,632,3,Muhammad meurt en 632 à Médine laissant une communauté déjà très étendue dans la péninsule Arabique.,C'est exactement dix ans après la hijra.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du jeûne pratiqué pendant le mois de ramadan ?,La zakat,Le hajj,La shahada,Le sawm,3,Le sawm est le jeûne pratiqué du lever au coucher du soleil pendant tout le mois du ramadan.,C'est le quatrième pilier de l'islam.
